"year","road_type","road_nm","volume"
2020,"시계","신정로(작동터널)",46087
2020,"시계","김포대로(개화교)",48840
2020,"시계","올림픽대로(개화IC)",168550
2020,"시계","통일로(고양시계)",49492
2020,"시계","서오릉로(고양시계)",40691
2020,"시계","수색로(고양시계)",48549
2020,"시계","강변북로(난지한강공원)",238049
2020,"시계","강변북로(구리시계)",138429
2021,"시계","도봉로(도봉산역)",50853
2021,"시계","동일로(의정부IC)",85759
2021,"시계","아차산로(워커힐)",28456
2021,"시계","망우로(망우리공원)",31915
2021,"시계","경춘북로(중랑경찰서)",48402
2021,"시계","화랑로(조선왕릉)",48003
2021,"시계","북부간선도로(신내IC)",118711
2021,"시계","서하남로(서하남IC)",101911
2021,"시계","천호대로(상일IC)",100627
2021,"시계","올림픽대로(강일IC)",204401
2021,"시계","경부고속도로(양재IC)",186278
2021,"시계","송파대로(복정역)",59091
2021,"시계","밤고개로(세곡동사거리)",44062
2021,"시계","분당수서로(성남시계)",100606
2021,"시계","과천대로(남태령역)",64091
2021,"시계","양재대로(양재IC)",150728
2021,"시계","반포대로(우면산터널)",67905
2021,"시계","시흥대로(석수역)",81200
2021,"시계","금오로(광명시계)",10750
2021,"시계","오리로(광명시계)",25883
2021,"시계","개봉로(개봉교)",23969
2021,"시계","광명대교(광명시계)",25772
2021,"시계","철산교(광명시계)",38205
2021,"시계","금천교(광명시계)",57804
2021,"시계","금하로(광명시계)",33604
2021,"시계","오정로(부천시계)",23935
2021,"시계","화곡로(화곡로입구)",36339
2021,"시계","경인고속국도(신월IC)",178744
2021,"시계","경인로(유한공고)",31600
2021,"시계","신정로(작동터널)",44500
2021,"시계","김포대로(개화교)",50588
2021,"시계","올림픽대로(개화IC)",173024
2021,"시계","통일로(고양시계)",49037
2021,"시계","서오릉로(고양시계)",41859
2021,"시계","수색로(고양시계)",51741
2021,"시계","강변북로(난지한강공원)",236735
2021,"시계","강변북로(구리시계)",138104
2018,"도심","성산로(금화터널)",70968
2018,"도심","사직로(사직터널)",78237
2018,"도심","자하문로(자하문터널)",33792
2018,"도심","대사관로(삼청터널)",12793
2018,"도심","율곡로(안국역)",59958
2018,"도심","창경궁로(서울여자대학교)",42976
2018,"도심","대학로(한국방송통신대학교)",39126
2018,"도심","종로(동묘앞역)",53223
2018,"도심","퇴계로(신당역)",48783
2018,"도심","동호로(장충체육관)",68290
2018,"도심","장충단로(장충단공원)",55398
2018,"도심","퇴계로(회현역)",32875
2018,"도심","세종대로(서울역)",62856
2018,"도심","새문안로(서울역사박물관)",49446
2018,"도심","종로(종로3가역)",46469
2018,"도심","서소문로(시청역)",51168
2018,"도심","세종대로(시청역2)",79221
2018,"도심","을지로(을지로3가역)",35238
2018,"도심","칠패로(숭례문)",19158
2018,"도심","남산1호터널",69174
2018,"도심","남산2호터널",27261
2018,"도심","남산3호터널",39325
2018,"도심","소월로(회현역)",15582
2018,"도심","소파로(숭의여자대학교)",15070
2019,"도심","성산로(금화터널)",70553
2019,"도심","사직로(사직터널)",77165
2019,"도심","자하문로(자하문터널)",32824
2019,"도심","대사관로(삼청터널)",12622
2019,"도심","율곡로(안국역)",58008
2019,"도심","창경궁로(서울여자대학교)",41802
2019,"도심","대학로(한국방송통신대학교)",39053
2019,"도심","종로(동묘앞역)",53583
