"year","gu_nm","key1","key2","lot_ct","area_total","jiga_total","jiga_avg"
2014,"송파구","용도지역","유통상업지역",46,1107111.6,8034383828800,7257068
2014,"동작구","용도지역","유통상업지역",28,43876,277957744000,6335075
2014,"마포구","용도지역","유통상업지역",45,51331.9,212363981000,4137076
2014,"성동구","용도지역","유통상업지역",17,63331.5,182296819500,2878454
2014,"동대문구","용도지역","유통상업지역",7,20759.5,58771166820,2831049
2014,"강서구","용도지역","유통상업지역",19,248253.7,569425480060,2293724
2014,"강남구","용도지역","일반상업지역",2727,2154804.4,36458054035400,16919426
2014,"송파구","용도지역","일반상업지역",545,1263503.8,16883520168700,13362461
2014,"서초구","용도지역","일반상업지역",1266,1325306.8,17467436218100,13179919
2014,"중구","용도지역","일반상업지역",17223,3594841,37258447621050,10364422
2014,"종로구","용도지역","일반상업지역",13185,2799639.5,28253957256630,10091998
2014,"서대문구","용도지역","일반상업지역",1211,274935.7,2395840720610,8714186
2014,"광진구","용도지역","일반상업지역",546,179547.9,1555968278680,8666034
2014,"용산구","용도지역","일반상업지역",3447,1170360.3,10073718569000,8607365
2014,"강동구","용도지역","일반상업지역",1546,578501.9,4327036519000,7479727
2014,"동작구","용도지역","일반상업지역",1006,306794.1,2221410294100,7240720
2014,"관악구","용도지역","일반상업지역",1344,386452.6,2746631456800,7107292
2014,"마포구","용도지역","일반상업지역",1306,907051.8,6119711625200,6746816
2014,"성동구","용도지역","일반상업지역",666,357667.3,2295010553600,6416607
2014,"양천구","용도지역","일반상업지역",262,797597.3,4712622893300,5908524
2014,"영등포구","용도지역","일반상업지역",2679,2748987.8,15702415299170,5712072
2014,"은평구","용도지역","일반상업지역",1302,379728.3,2002447947100,5273370
2014,"강북구","용도지역","일반상업지역",816,238915.5,1213688242530,5079990
2014,"금천구","용도지역","일반상업지역",312,101461.9,505424408480,4981421
2014,"동대문구","용도지역","일반상업지역",2259,987530.9,4846384416840,4907577
2014,"성북구","용도지역","일반상업지역",1629,363874.8,1720351839390,4727867
2014,"도봉구","용도지역","일반상업지역",323,247617.6,1079689636180,4360311
2014,"강서구","용도지역","일반상업지역",1620,831829.3,3464538735190,4164964
2014,"중랑구","용도지역","일반상업지역",471,233652.4,970777274780,4154793
2014,"구로구","용도지역","일반상업지역",937,553641.4,2246682849810,4058011
2014,"노원구","용도지역","일반상업지역",292,584582.1,1742510050620,2980779
2014,"용산구","용도지역","자연녹지지역",344,4108270.9,6764914273040,1646657
2014,"송파구","용도지역","자연녹지지역",1233,9225262.1,9013023604060,976994
2014,"서초구","용도지역","자연녹지지역",1433,4511210.5,3501781121610,776240
2014,"은평구","용도지역","자연녹지지역",34,147800,99880353500,675780
2014,"강서구","용도지역","자연녹지지역",1763,5379153.2,3306678164780,614721
2014,"구로구","용도지역","자연녹지지역",705,1799665.3,1021926082230,567842
2014,"강남구","용도지역","자연녹지지역",1385,4607081.6,2324654199400,504583
2014,"성동구","용도지역","자연녹지지역",632,1707493.5,769860145600,450871
2014,"노원구","용도지역","자연녹지지역",2023,4826087.8,2103003831690,435757
2014,"동작구","용도지역","자연녹지지역",665,2272415.1,972081730000,427775
2014,"양천구","용도지역","자연녹지지역",501,3059834.3,1298152712710,424256
2014,"영등포구","용도지역","자연녹지지역",1149,8853601.5,3689173050000,416686
2014,"종로구","용도지역","자연녹지지역",429,2977321.5,1232894283870,414095
2014,"마포구","용도지역","자연녹지지역",1870,7821791.8,3059927581830,391205
2014,"광진구","용도지역","자연녹지지역",608,3259546.5,1066661139000,327242
2014,"성북구","용도지역","자연녹지지역",646,830813.3,243148134740,292663
2014,"강북구","용도지역","자연녹지지역",175,338490.8,98650530020,291442
2014,"금천구","용도지역","자연녹지지역",197,982270.6,283119657520,288230
2014,"강동구","용도지역","자연녹지지역",924,3331291.8,859169159000,257909
2014,"관악구","용도지역","자연녹지지역",774,6637898.4,1672857725920,252016
2014,"도봉구","용도지역","자연녹지지역",635,1372700.5,332909997370,242522
2014,"동대문구","용도지역","자연녹지지역",164,370414,71998401100,194373
2014,"중랑구","용도지역","자연녹지지역",604,2691443.9,436937426350,162343
2014,"서대문구","용도지역","자연녹지지역",100,171606.5,26413239840,153917
2014,"강동구","용도지역","제1종일반주거지역",329,658676.5,1896613304120,2879431
2014,"강남구","용도지역","제1종일반주거지역",2591,3098750.1,7506351554300,2422380
2014,"송파구","용도지역","제1종일반주거지역",1479,1857238.4,4098553902000,2206800
2014,"용산구","용도지역","제1종일반주거지역",9505,3421719.7,7086851117210,2071137
2014,"종로구","용도지역","제1종일반주거지역",10757,4269077.6,8699782971990,2037860
2014,"서초구","용도지역","제1종일반주거지역",2185,3245611.4,5847435300010,1801644
2014,"마포구","용도지역","제1종일반주거지역",689,697884.5,1189243526710,1704069
2014,"광진구","용도지역","제1종일반주거지역",4430,2215759.9,3413114895580,1540381
2014,"노원구","용도지역","제1종일반주거지역",1148,1180603.7,1617432093650,1370004
2014,"중구","용도지역","제1종일반주거지역",3336,2788271.3,3788452038440,1358710
2014,"성북구","용도지역","제1종일반주거지역",7924,5107952.4,6437834460990,1260355
2014,"동대문구","용도지역","제1종일반주거지역",2051,2703900,3343693310020,1236619
2014,"양천구","용도지역","제1종일반주거지역",1548,1254654,1518343098880,1210169
2014,"중랑구","용도지역","제1종일반주거지역",1924,1047841.3,1083707708340,1034229
2014,"서대문구","용도지역","제1종일반주거지역",6023,5988590,5914177071260,987574
2014,"도봉구","용도지역","제1종일반주거지역",3084,1818694.3,1752478615070,963592
2014,"영등포구","용도지역","제1종일반주거지역",250,487062.8,464867199660,954430
2014,"성동구","용도지역","제1종일반주거지역",1256,1939408.5,1701972484660,877573
2014,"동작구","용도지역","제1종일반주거지역",5233,3935267,3368949131770,856092
2014,"은평구","용도지역","제1종일반주거지역",4964,2896700.6,2315700652980,799427
2014,"관악구","용도지역","제1종일반주거지역",6816,4991705,3870492551870,775385
2014,"구로구","용도지역","제1종일반주거지역",1520,1231538.8,945430116560,767682
2014,"금천구","용도지역","제1종일반주거지역",2190,1678794.2,1275734378010,759911
2014,"강서구","용도지역","제1종일반주거지역",1949,2387009.6,1646138703370,689624
2014,"강북구","용도지역","제1종일반주거지역",4360,2937061.4,1766364778700,601405
2014,"용산구","용도지역","제1종전용주거지역",442,184990.7,1056034483100,5708581
2014,"강남구","용도지역","제1종전용주거지역",1550,567195.3,1893529482800,3338408
2014,"서초구","용도지역","제1종전용주거지역",1984,581981.7,1793871789400,3082351
2014,"강동구","용도지역","제1종전용주거지역",144,39582,101275710700,2558630
2014,"성북구","용도지역","제1종전용주거지역",2047,959377,1858455889700,1937149
2014,"서대문구","용도지역","제1종전용주거지역",932,306195,589801387670,1926228
2014,"은평구","용도지역","제1종전용주거지역",260,68284.2,117481591800,1720480
